"","CellID","CompID","BaseID","Comppartialprofit_Mean","Comppartialprofit_SD","Comppartialprofit_CV","Comppartialprofit_Max","Comppartialprofit_Min","CompCropFailureProb","CompMinPropSOSDBase","Basepartialprofit_Mean","Basepartialprofit_SD","Basepartialprofit_CV","Basepartialprofit_Max","Basepartialprofit_Min","BaseCropFailureProb","BaseMinPropSOSDComp","Diff_Mean_CompBase","Diff_SD_CompBase","Diff_CV_CompBase","Diff_CropFailureProbCompBase","MinProp_CompSOSDBase_Divdbasepartialprofit","MinProp_BaseSOSDComp_Divdbasepartialprofit","Riskiness_Comp","RiceArea"
"1816",2632,1,1,110858.326650548,10149.9397548921,0.0915577571984029,127007.159353369,81880.0268065375,0,-39268.4908739412,71589.835774817,31951.7798527745,0.44631726706676,121828.337648816,23175.8694349869,0,-67227.6311045926,39268.4908757306,-21801.8400978824,-0.354759509868357,0,-0.548520477089216,-0.93906670377139,1,1
"1817",2633,1,1,101930.899664764,8383.99495781839,0.0822517507977669,116778.296137431,87779.1384100856,0,-40357.4858361284,61573.4138273883,31757.6509510796,0.515768884280273,117893.668004319,20072.6756916952,0,-67706.4627241877,40357.4858373761,-23373.6559932612,-0.433517133482506,0,-0.655436873278855,-1.09960547118587,1,1
"1818",2634,1,1,111488.460513704,9545.26330581521,0.0856166033850825,129727.803980147,91925.4710625071,0,-42124.2612033951,69364.1993101342,34099.849474679,0.491605897766011,130789.907715454,24869.2227066291,0,-67911.5608552947,42124.2612035696,-24554.5861688638,-0.405989294380929,0,-0.607291104378692,-0.979057806919321,1,1
"1819",2635,1,1,113298.268826276,10274.0953511361,0.0906818388098205,131775.084469462,93387.5466406539,0,-41017.7940429828,72280.4747784925,34914.9095631286,0.483047595773648,127177.867811252,26404.8828225169,0,-66982.6638197475,41017.7940477837,-24640.8142119925,-0.392365756963827,0,-0.567480971433629,-0.926704812399469,1,1
"1820",2636,1,1,105073.39769966,11144.0709056383,0.106059870049052,123838.739897743,78519.1199164265,0,-36850.9305823365,68222.4671122658,35229.2858953618,0.516388330509787,127373.045175351,21760.9956483751,0,-59580.0643849803,36850.9305873947,-24085.2149897235,-0.410328460460736,0,-0.540158281313621,-0.873320284459024,1,1
"1821",2637,1,1,120569.164969149,12311.4957173446,0.1021114786728,143986.66343144,88192.6102208462,0,-40057.2217513635,80511.9432097363,36571.0159209826,0.454230943423063,139857.108787401,29813.3085482771,0,-64252.3155195332,40057.2217594131,-24259.520203638,-0.352119464750263,0,-0.497531423965424,-0.798047009648665,1,1
"1822",2638,1,1,118689.34960271,12612.2648446843,0.106262818752495,142705.938579912,84956.1587353134,0,-37544.4735023953,81144.8760976717,36310.964321981,0.447483144570639,137073.912481964,29286.5066160587,0,-61686.1876221546,37544.4735050387,-23698.6994772967,-0.341220325818144,0,-0.462684463985182,-0.760198186117195,1,1
"1823",2639,1,1,113237.220426454,13316.7100104116,0.11760011381647,136468.127633828,74548.0146221594,0,-34062.2897302501,79174.9306915441,34886.8841446295,0.440630434910572,135324.584198245,27594.4321230931,0,-57766.7007114749,34062.2897349095,-21570.1741342179,-0.323030321094102,0,-0.430215592647029,-0.729608478427685,1,1
"1824",264,1,1,98329.8413392141,18553.8582020888,0.188690004472625,126422.280579347,57255.4482578018,0,-14397.222299613,83932.6190328145,30677.0123597254,0.365495712075085,127916.699154675,30694.3453660266,0,-32678.1053841762,14397.2223063997,-12123.1541576366,-0.17680570760246,0,-0.171533099592474,-0.389337372772799,1,1
"1825",2640,1,1,114771.184724636,15357.0094860207,0.133805445355173,141204.447817347,75334.7216206507,0,-34646.0823295952,80125.1023934314,34475.6203490892,0.430272403020548,137413.694072429,29069.412608513,0,-54470.1877862746,34646.0823312048,-19118.6108630685,-0.296466957665376,0,-0.432399850916577,-0.67981426742913,1,1
"1826",2641,1,1,107804.634189619,15183.3089606605,0.140840967318291,136050.519237468,67978.4404687631,0,-31377.121576688,76427.5126121812,33615.3512908509,0.439833119539379,129074.869694613,26588.2838553747,0,-51204.8001014067,31377.1215774383,-18432.0423301904,-0.298992152221088,0,-0.410547465228995,-0.669978628785645,1,1
"1827",2642,1,1,109087.492453949,15275.3165759899,0.140028120844729,135311.865761841,67843.1277658051,0,-30112.883524704,78974.6089267066,33355.3305537668,0.422355121564739,133393.098657706,27645.5755141151,0,-50321.9928138441,30112.8835272422,-18080.0139777769,-0.28232700072001,0,-0.381298292374587,-0.637192048149882,1,1
"1828",2643,1,1,107174.603219551,15993.0275936009,0.14922404294643,134624.282868287,61133.9636028315,0,-23552.2588406158,83622.34437586,30309.7726240302,0.362460211445351,125634.27778119,27294.9998119731,0,-44741.4868203667,23552.2588436911,-14316.7450304293,-0.213236168498921,0,-0.281650305506321,-0.535042244442056,1,1
"1829",2644,1,1,106250.301114905,15127.836531322,0.142379234435881,130490.9417305,67910.1047889555,0,-24354.5617376,81895.7393750263,30747.572989862,0.375447773284751,124688.267080815,26266.2197382346,0,-48573.2551785034,24354.5617398785,-15619.7364585399,-0.23306853884887,0,-0.297384966830482,-0.593110893792304,1,1
